data,ret_bh
2011-01-04,0.0066435456190756526
2011-01-05,0.007891005392241857
2011-01-06,-0.008540903546207734
2011-01-07,-0.004594396092085118
2011-01-10,-2.8853702484654686e-4
2011-01-11,0.005626885058230391
2011-01-12,0.01865140758504147
2011-01-13,-0.014225382200429126
2011-01-14,0.0037148470376660025
2011-01-17,-0.0029893108109986244
2011-01-18,0.002427158291307574
2011-01-19,-0.012961060313075756
2011-01-20,-0.007936551623916044
2011-01-21,-0.005818204012784101
2011-01-24,0.005705916581638215
2011-01-26,-0.011492594414870161
2011-01-27,-0.009565767853962903
2011-01-28,-0.020208031926917447
2011-01-31,-0.0024265037334743056
2011-02-01,0.022195182602103847
2011-02-02,-0.018887517599858628
2011-02-03,0.001212700160290181
2011-02-04,-0.023012932660575913
2011-02-07,0.002324523922461852
2011-02-08,0.0026282957350529657
2011-02-09,-0.023284477364109435
2011-02-10,0.008051757504019541
2011-02-11,0.0166014912031347
2011-02-14,0.014173441951018662
2011-02-15,-0.003949599407542692
2011-02-16,0.014945910652657046
2011-02-17,0.004958590330995438
2011-02-18,0.009270376376254275
2011-02-21,-0.014074028862847254
2011-02-22,-0.013223213260082023
2011-02-23,0.0080706379484492
2011-02-24,0.002114794503055517
2011-02-25,-0.0025625290673737533
2011-02-28,0.00876532941067687
2011-03-01,-0.014981273408239737
2011-03-02,0.011863099304895375
2011-03-03,0.013828320845116204
2011-03-04,2.96579293788346e-4
2011-03-09,-0.01422853219362441
2011-03-10,-0.018944551131567344
2011-03-11,0.01042146061572069
2011-03-14,0.007128791423139491
2011-03-15,-0.0022590590727689097
2011-03-16,-0.0173585135981722
2011-03-17,0.0029186243603642748
2011-03-18,0.013478285205670515
2011-03-21,-0.004382664705338435
2011-03-22,0.011991514093245614
2011-03-23,0.004199771816212561
2011-03-24,-0.002987258511703894
2011-03-25,0.0023970586083801315
2011-03-28,-0.007771696966075825
2011-03-29,0.0031631132158949082
2011-03-30,0.009159168533443562
2011-03-31,0.005058830113326085
2011-04-01,0.013915540629827694
2011-04-04,0.006132366935903022
2011-04-05,1.4503709628210792e-4
2011-04-06,-0.010301786177245975
2011-04-07,4.398003181282917e-4
2011-04-08,-0.004542754517850578
2011-04-11,-0.009421454243680794
2011-04-12,-0.017684684577432552
2011-04-13,-0.005294984602127073
2011-04-14,-0.0038022813688213253
2011-04-15,0.005648896894382194
2011-04-18,-0.017003229085794214
2011-04-19,0.007567534575591228
2011-04-20,0.015481333067169922
2011-04-25,-0.002113198334316002
2011-04-26,7.563613870240626e-4
2011-04-27,-0.011487335159652168
2011-04-28,-0.008103956680905466
2011-04-29,0.005087007672086807
2011-05-02,-0.006288283004680428
2011-05-03,-0.020064812759540973
2011-05-04,-0.009292804173731684
2011-05-05,-0.0034976345845175727
2011-05-06,0.015954052251614614
2011-05-09,0.001884405328355765
2011-05-10,0.003291581531053245
2011-05-11,-0.016559933415328576
2011-05-12,0.00524222418360476
2011-05-13,-0.013906404399392502
2011-05-16,-0.00657051021452415
2011-05-17,0.01322793470917194
2011-05-18,-0.011144734081109497
2011-05-19,-0.010304288896461067
2011-05-20,0.00439239388973256
2011-05-23,-0.0019436790301203821
2011-05-24,0.015903920143192973
2011-05-25,0
2011-05-26,0.01437702153061493
2011-05-27,0
2011-05-30,-0.006141722671628935
2011-05-31,0.01109175655473904
2011-06-01,-0.018178966031140886
2011-06-02,0.011811617649583939
2011-06-03,0.0017352991230590309
2011-06-06,-0.020629942886472685
2011-06-07,0.003537565936022391
2011-06-08,-0.0017625478388160198
2011-06-09,0.0041733890756743275
2011-06-10,-0.011828671071332897
2011-06-13,-0.011484941571944018
2011-06-14,0.0014727565323022773
2011-06-15,-0.007189582286291407
2011-06-16,-0.011026961610495434
2011-06-17,0.003494742618395774
2011-06-20,0.0016584127708727525
2011-06-21,0.0013244704360337867
2011-06-22,-0.002645500142578139
2011-06-24,-0.0019893722230085453
2011-06-27,0.003654441913915951
2011-06-28,0.011420100336264172
2011-06-29,0.00785468069779438
2011-06-30,-0.0016236154225255373
2011-07-01,0.024556810543428398
2011-07-04,-7.936386835007969e-4
2011-07-05,-0.01223193722686966
2011-07-06,-0.007397862370778552
2011-07-07,-0.0050227052359005375
2011-07-08,-0.012050182060014847
2011-07-11,-0.01879016687084656
2011-07-12,-0.010246944781791334
2011-07-13,0.015444733373888742
2011-07-14,-0.015544046075777751
2011-07-15,-0.003056032266768205
2011-07-18,-0.011920993671448499
2011-07-19,0.002929992547467508
2011-07-20,0.0012029506182542615
2011-07-21,0.021283929182821293
2011-07-22,8.403233119420594e-4
2011-07-25,-0.006549108222418276
2011-07-26,-0.010987179302829886
2011-07-27,-0.01794563779151781
2011-07-28,0.006787319802687319
2011-07-29,0.005704439753828394
2011-08-01,-0.006187703823706148
2011-08-02,-0.021099986633385193
2011-08-03,-0.018374507577161636
2011-08-04,-0.06317498289187962
2011-08-05,0.004226728605722707
2011-08-08,-0.08628280269243038
2011-08-09,0.055276450944836464
2011-08-10,0.004960317310142015
2011-08-11,0.03948667205820566
2011-08-12,0.002848959294102116
2011-08-15,0.02178033224424203
2011-08-16,-0.007785022756312876
2011-08-17,0.014384466193215761
2011-08-18,-0.03480661908294258
2011-08-19,-0.011639011870397509
2011-08-22,-0.00096523625090660925
2011-08-23,0.024154589371980784
2011-08-24,-5.660147037146457e-4
2011-08-25,-0.015480454520052422
2011-08-26,0.007094897815125734
2011-08-29,0.030083739577040802
2011-08-30,0.008502826472166491
2011-08-31,0.021810824720608135
2011-09-01,0.02726458220203898
