serie,ann_ret,ann_vol,sharpe,sortino,mdd,calmar,n,grupo
ret_bh,0.04952996918458408,0.23837197718405037,-0.0643312712724737,0.2849110642610967,-0.48661970756423256,0.101783730528518,3614,BH
ret_egarch_std_15a_cap1,0.03743028901393819,0.14277611638570473,-0.31726578985488446,0.4301619151974058,-0.4211433568698908,0.0888777856835624,3614,VT_sync_s/ct
ret_egarch_std_15a_cap1_c00,0.03743028901393819,0.14277611638570473,-0.31726578985488446,0.4301619151974058,-0.4211433568698908,0.0888777856835624,3614,VT_sync_c/ct
ret_gjr_norm_15a_cap1,0.03385017564001047,0.14851063712374432,-0.32265508970445905,0.3628937126120584,-0.4285894925812781,0.07898041418640495,3614,VT_sync_s/ct
ret_gjr_norm_15a_cap1_c00,0.03385017564001047,0.14851063712374432,-0.32265508970445905,0.3628937126120584,-0.4285894925812781,0.07898041418640495,3614,VT_sync_c/ct
ret_egarch_std_15a_cap15,0.03537817071881544,0.1447091412926896,-0.32479065434978527,0.4038116908249163,-0.42253593062136596,0.08372819482307596,3614,VT_sync_s/ct
ret_egarch_std_15a_cap15_c00,0.03537817071881544,0.1447091412926896,-0.32479065434978527,0.4038116908249163,-0.42253593062136596,0.08372819482307596,3614,VT_sync_c/ct
ret_gjr_norm_15a_cap15,0.03183805741567092,0.15052483810773246,-0.3292794929639684,0.3391377540014303,-0.429964152928347,0.0740481670363266,3614,VT_sync_s/ct
ret_gjr_norm_15a_cap15_c00,0.03183805741567092,0.15052483810773246,-0.3292794929639684,0.3391377540014303,-0.429964152928347,0.0740481670363266,3614,VT_sync_c/ct
ret_gjr_norm_15a_cap1_c10,0.02982781381688593,0.1485433031039659,-0.3487896843775569,0.3182970106096942,-0.4407639301460081,0.06767299176909762,3614,VT_sync_c/ct
ret_egarch_std_15a_cap1_c10,0.032582607178112344,0.1428110454691085,-0.3499431115019296,0.3723113416951683,-0.4356352465701726,0.07479332178615143,3614,VT_sync_c/ct
ret_gjr_norm_15a_cap15,0.0228545579154793,0.16022556513841754,-0.354425918003301,0.2118673759477971,-0.4505353597803098,0.050727556493287564,3614,VT_OOS_s/ct
ret_gjr_norm_15a_cap15_c00,0.0228545579154793,0.16022556513841754,-0.354425918003301,0.2118673759477971,-0.4505353597803098,0.050727556493287564,3614,VT_OOS_c/ct
ret_egarch_std_15a_cap15,0.024742044871046254,0.15604579587669967,-0.3563734183803201,0.23870805304809847,-0.4478785007591638,0.055242760769065605,3614,VT_OOS_s/ct
ret_egarch_std_15a_cap15_c00,0.024742044871046254,0.15604579587669967,-0.3563734183803201,0.23870805304809847,-0.4478785007591638,0.055242760769065605,3614,VT_OOS_c/ct
ret_gjr_norm_15a_cap15_c10,0.026677235464997562,0.15054754726332398,-0.36250635852968527,0.2827682336112947,-0.4426415539321148,0.06026825820580073,3614,VT_sync_c/ct
ret_gjr_norm_15a_cap1,0.023155095821213667,0.15712708849580853,-0.36266615142681913,0.2174678341029135,-0.4496184075623,0.05149943915053178,3614,VT_OOS_s/ct
ret_gjr_norm_15a_cap1_c00,0.023155095821213667,0.15712708849580853,-0.36266615142681913,0.2174678341029135,-0.4496184075623,0.05149943915053178,3614,VT_OOS_c/ct
ret_egarch_std_15a_cap15_c10,0.029310148678421744,0.1447328272411127,-0.3653169447106192,0.3325247535045635,-0.4375301283749158,0.0669900122930646,3614,VT_sync_c/ct
ret_egarch_std_15a_cap1,0.02490999747948952,0.15295978782218675,-0.36559962471484114,0.24370050951721356,-0.4469571147476138,0.05573241068901121,3614,VT_OOS_s/ct
ret_egarch_std_15a_cap1_c00,0.02490999747948952,0.15295978782218675,-0.36559962471484114,0.24370050951721356,-0.4469571147476138,0.05573241068901121,3614,VT_OOS_c/ct
ret_egarch_norm_15a_cap15,0.022765656604534223,0.1537484237340078,-0.37653171885870335,0.21682360838121967,-0.4243412364271326,0.053649409131708355,3614,VT_OOS_s/ct
ret_egarch_norm_15a_cap15_c00,0.022765656604534223,0.1537484237340078,-0.37653171885870335,0.21682360838121967,-0.4243412364271326,0.053649409131708355,3614,VT_OOS_c/ct
ret_egarch_norm_15a_cap1,0.02365535577150646,0.1519712036261872,-0.37700110352635446,0.2271822076896465,-0.4243412364271326,0.055746068825834064,3614,VT_OOS_s/ct
ret_egarch_norm_15a_cap1_c00,0.02365535577150646,0.1519712036261872,-0.37700110352635446,0.2271822076896465,-0.4243412364271326,0.055746068825834064,3614,VT_OOS_c/ct
ret_15a_cap15,0.02498194845211943,0.14914057352444554,-0.3783626587957332,0.24930030624887903,-0.4200008903078546,0.05948070356186155,3614,VT_OOS_s/ct
ret_15a_cap15_c00,0.02498194845211943,0.14914057352444554,-0.3783626587957332,0.24930030624887903,-0.4200008903078546,0.05948070356186155,3614,VT_OOS_c/ct
ret_15a_cap1,0.025805537473739593,0.1474111132966393,-0.37909187479862827,0.25975155508401904,-0.4200008903078546,0.061441625647089715,3614,VT_OOS_s/ct
ret_15a_cap1_c00,0.025805537473739593,0.1474111132966393,-0.37909187479862827,0.25975155508401904,-0.4200008903078546,0.061441625647089715,3614,VT_OOS_c/ct
ret_gjr_norm_15a_cap15_c10,0.017736745566803158,0.1602553249700266,-0.38562285781269046,0.1638231348815668,-0.4627589944583522,0.03832825677988944,3614,VT_OOS_c/ct
ret_gjr_norm_15a_cap1_c10,0.01917203496473907,0.15716939253467652,-0.3873374110050638,0.17943836028173513,-0.4613488107997715,0.04155648506279528,3614,VT_OOS_c/ct
