data,toEW094_10a_cap1,toEW097_10a_cap1,to_10a_cap1,to_egarch_norm_10a_cap1,to_egarch_std_10a_cap1,to_gjr_norm_10a_cap1,toEW094_12a_cap1,toEW097_12a_cap1,to_12a_cap1,to_egarch_norm_12a_cap1,to_egarch_std_12a_cap1,to_gjr_norm_12a_cap1,toEW094_15a_cap1,toEW097_15a_cap1,to_15a_cap1,to_egarch_norm_15a_cap1,to_egarch_std_15a_cap1,to_gjr_norm_15a_cap1,toEW094_10a_cap15,toEW097_10a_cap15,to_10a_cap15,to_egarch_norm_10a_cap15,to_egarch_std_10a_cap15,to_gjr_norm_10a_cap15,toEW094_12a_cap15,toEW097_12a_cap15,to_12a_cap15,to_egarch_norm_12a_cap15,to_egarch_std_12a_cap15,to_gjr_norm_12a_cap15,toEW094_15a_cap15,toEW097_15a_cap15,to_15a_cap15,to_egarch_norm_15a_cap15,to_egarch_std_15a_cap15,to_gjr_norm_15a_cap15
2011-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-05,0.6043052167107241,0.599145614554931,0.6043052167107241,0.6043052167107241,0.009333408386157926,0.009333408386157926,0.5251662600528689,0.5189747374659172,0.5251662600528689,0.5251662600528689,0.011200090063389456,0.011200090063389456,0.4064578250660861,0.39871842183239636,0.4064578250660861,0.4064578250660861,0.014000112579236834,0.014000112579236834,0.6043052167107241,0.599145614554931,0.6043052167107241,0.6043052167107241,0.009333408386157926,0.009333408386157926,0.5251662600528689,0.5189747374659172,0.5251662600528689,0.5251662600528689,0.011200090063389456,0.011200090063389456,0.4064578250660861,0.39871842183239636,0.4064578250660861,0.4064578250660861,0.014000112579236834,0.014000112579236834
2011-01-06,0.00456642565191917,0.009333408386157926,0.00456642565191917,0.00456642565191917,0.00873829713448554,0.00873829713448554,0.005479710782303027,0.011200090063389456,0.005479710782303027,0.005479710782303027,0.010485956561382681,0.010485956561382681,0.006849638477878783,0.014000112579236834,0.006849638477878783,0.006849638477878783,0.013107445701728393,0.013107445701728393,0.00456642565191917,0.009333408386157926,0.00456642565191917,0.00456642565191917,0.00873829713448554,0.00873829713448554,0.005479710782303027,0.011200090063389456,0.005479710782303027,0.005479710782303027,0.010485956561382681,0.010485956561382681,0.006849638477878783,0.014000112579236834,0.006849638477878783,0.006849638477878783,0.013107445701728393,0.013107445701728393
2011-01-07,0.00428845189433269,0.00873829713448554,0.00428845189433269,0.00428845189433269,0.01187566057615258,0.01187566057615258,0.005146142273199206,0.010485956561382681,0.005146142273199206,0.005146142273199206,0.014250792691383074,0.014250792691383074,0.006432677841499035,0.013107445701728393,0.006432677841499035,0.006432677841499035,0.017813490864228787,0.017813490864228787,0.00428845189433269,0.00873829713448554,0.00428845189433269,0.00428845189433269,0.01187566057615258,0.01187566057615258,0.005146142273199206,0.010485956561382681,0.005146142273199206,0.005146142273199206,0.014250792691383074,0.014250792691383074,0.006432677841499035,0.013107445701728393,0.006432677841499035,0.006432677841499035,0.017813490864228787,0.017813490864228787
2011-01-10,0.005653882618025297,0.01187566057615258,0.005653882618025297,0.005653882618025297,0.013530804826254683,0.013530804826254683,0.006784659141630345,0.014250792691383074,0.006784659141630345,0.006784659141630345,0.016236965791505686,0.016236965791505686,0.008480823927037862,0.017813490864228787,0.008480823927037862,0.008480823927037862,0.02029620723938208,0.02029620723938208,0.005653882618025297,0.01187566057615258,0.005653882618025297,0.005653882618025297,0.013530804826254683,0.013530804826254683,0.006784659141630345,0.014250792691383074,0.006784659141630345,0.006784659141630345,0.016236965791505686,0.016236965791505686,0.008480823927037862,0.017813490864228787,0.008480823927037862,0.008480823927037862,0.02029620723938208,0.02029620723938208
2011-01-11,0.0062927769662929345,0.013530804826254683,0.0062927769662929345,0.0062927769662929345,0.011687377333579274,0.011687377333579274,0.007551332359551521,0.016236965791505686,0.007551332359551521,0.007551332359551521,0.014024852800295085,0.014024852800295085,0.009439165449439457,0.02029620723938208,0.009439165449439457,0.009439165449439457,0.01753106600036891,0.01753106600036891,0.0062927769662929345,0.013530804826254683,0.0062927769662929345,0.0062927769662929345,0.011687377333579274,0.011687377333579274,0.007551332359551521,0.016236965791505686,0.007551332359551521,0.007551332359551521,0.014024852800295085,0.014024852800295085,0.009439165449439457,0.02029620723938208,0.009439165449439457,0.009439165449439457,0.01753106600036891,0.01753106600036891
2011-01-12,0.005494436344243625,0.011687377333579274,0.005494436344243625,0.005494436344243625,0.010432795830203179,0.010432795830203179,0.006593323613092339,0.014024852800295085,0.006593323613092339,0.006593323613092339,0.012519354996243792,0.012519354996243792,0.008241654516365382,0.01753106600036891,0.008241654516365382,0.008241654516365382,0.015649193745304824,0.015649193745304824,0.005494436344243625,0.011687377333579274,0.005494436344243625,0.005494436344243625,0.010432795830203179,0.010432795830203179,0.006593323613092339,0.014024852800295085,0.006593323613092339,0.006593323613092339,0.012519354996243792,0.012519354996243792,0.008241654516365382,0.01753106600036891,0.008241654516365382,0.008241654516365382,0.015649193745304824,0.015649193745304824
2011-01-13,0.00333060506686228,0.010432795830203179,0.00333060506686228,0.00333060506686228,3.616928185842805e-4,3.616928185842805e-4,0.003996726080234714,0.012519354996243792,0.003996726080234714,0.003996726080234714,4.340313823011366e-4,4.340313823011366e-4,0.004995907600293337,0.015649193745304824,0.004995907600293337,0.004995907600293337,5.42539227876393e-4,5.42539227876393e-4,0.00333060506686228,0.010432795830203179,0.00333060506686228,0.00333060506686228,3.616928185842805e-4,3.616928185842805e-4,0.003996726080234714,0.012519354996243792,0.003996726080234714,0.003996726080234714,4.340313823011366e-4,4.340313823011366e-4,0.004995907600293337,0.015649193745304824,0.004995907600293337,0.004995907600293337,5.42539227876393e-4,5.42539227876393e-4
2011-01-14,5.871081828169866e-4,3.616928185842805e-4,5.871081828169866e-4,5.871081828169866e-4,0.01298627274490427,0.01298627274490427,7.045298193804062e-4,4.340313823011366e-4,7.045298193804062e-4,7.045298193804062e-4,0.015583527293885124,0.015583527293885124,8.806622742253412e-4,5.42539227876393e-4,8.806622742253412e-4,8.806622742253412e-4,0.01947940911735646,0.01947940911735646,5.871081828169866e-4,3.616928185842805e-4,5.871081828169866e-4,5.871081828169866e-4,0.01298627274490427,0.01298627274490427,7.045298193804062e-4,4.340313823011366e-4,7.045298193804062e-4,7.045298193804062e-4,0.015583527293885124,0.015583527293885124,8.806622742253412e-4,5.42539227876393e-4,8.806622742253412e-4,8.806622742253412e-4,0.01947940911735646,0.01947940911735646
2011-01-17,0.006033521669115471,0.01298627274490427,0.006033521669115471,0.006033521669115471,0.013683931966096075,0.013683931966096075,0.007240226002938499,0.015583527293885124,0.007240226002938499,0.007240226002938499,0.016420718359315356,0.016420718359315356,0.009050282503673235,0.01947940911735646,0.009050282503673235,0.009050282503673235,0.020525897949144056,0.020525897949144056,0.006033521669115471,0.01298627274490427,0.006033521669115471,0.006033521669115471,0.013683931966096075,0.013683931966096075,0.007240226002938499,0.015583527293885124,0.007240226002938499,0.007240226002938499,0.016420718359315356,0.016420718359315356,0.009050282503673235,0.01947940911735646,0.009050282503673235,0.009050282503673235,0.020525897949144056,0.020525897949144056
