data,ativo,preco_ajustado,volume,ret_log,rf_diaria,idx_preco,idx_ret,dd
2023-12-06,BOVA11.SA,121.72000122070313,2838764,-0.010542335189458496,4.551316162888508e-4,1.7463415573904535,1.757943457193464,-0.032047704010313205
2023-12-07,BOVA11.SA,122.29000091552734,2851292,0.004671945630254642,4.551316162888508e-4,1.7545194586785626,1.7661756887418492,-0.027514903256243728
2023-12-08,BOVA11.SA,123.30999755859375,4746015,0.008306209395702265,4.551316162888508e-4,1.7691535574981627,1.7809070098645514,-0.01940359794358837
2023-12-11,BOVA11.SA,123.11000061035156,3169394,-0.001623220466209642,4.551316162888508e-4,1.7662841606976047,1.7780185500954497,-0.020994030931597796
2023-12-12,BOVA11.SA,122.5999984741211,3484382,-0.004151258561181002,4.551316162888508e-4,1.7589670565575688,1.77065283444026,-0.025049713923490313
2023-12-13,BOVA11.SA,125.70999908447266,6023541,0.0250506485877709,4.551316162888508e-4,1.803586866407216,1.815569078032158,-3.180987318276429e-4
2023-12-14,BOVA11.SA,126.87999725341797,8207858,0.00926407659556595,4.37392423015881e-4,1.8203730675574705,1.832466799075525,0
2023-12-15,BOVA11.SA,126.27999877929688,5585629,-0.004740082216301306,4.37392423015881e-4,1.811764767695325,1.8238013095805425,-0.004728865755905698
2023-12-18,BOVA11.SA,127.2699966430664,3277656,0.007809133604331185,4.37392423015881e-4,1.8259684679408887,1.8380993727566473,0
2023-12-19,BOVA11.SA,128.0500030517578,3172241,0.006110048850598947,4.37392423015881e-4,1.8371593781681965,1.8493646303065692,0
2023-12-20,BOVA11.SA,126.81999969482422,3882111,-0.00965208061256626,4.37392423015881e-4,1.8195122704093976,1.83160028318233,-0.009605648790468324
2023-12-21,BOVA11.SA,128.35000610351563,4749171,0.01199219900531853,4.37392423015881e-4,1.841463582829505,1.8536974301478992,0
2023-12-22,BOVA11.SA,128.94000244140625,2840232,0.004586243946076037,4.37392423015881e-4,1.8499283800134811,1.8622184635981234,0
2023-12-26,BOVA11.SA,129.64999389648438,6023859,0.005491266090896185,4.37392423015881e-4,1.8601147714936035,1.8724725288347375,0
2023-12-27,BOVA11.SA,130.22999572753906,4503280,0.004463620264763757,4.37392423015881e-4,1.8684361754598817,1.8808492164278805,0
2023-12-28,BOVA11.SA,130.38999938964844,3450804,0.0012278695818414304,4.37392423015881e-4,1.8707317804687054,1.8831600723933037,0
2024-01-02,BOVA11.SA,128.75999450683594,4391818,-0.012579790985843652,4.37392423015881e-4,1.8473457696483189,1.859618695543184,-0.012500996168743672
2024-01-03,BOVA11.SA,128.99000549316406,6296453,0.0017847607944440971,4.37392423015881e-4,1.8506457839438564,1.8629406336342376,-0.010736972950668666
2024-01-04,BOVA11.SA,127.3499984741211,6082509,-0.012795735119320127,4.37392423015881e-4,1.8271162704453006,1.8392548007393592,-0.02331467850109281
2024-01-05,BOVA11.SA,128.25,3017418,0.0070422946071869805,4.37392423015881e-4,1.8400287749687545,1.8522530900756715,-0.01641229695272406
2024-01-08,BOVA11.SA,128.57000732421875,4044932,0.0024920760120558474,4.37392423015881e-4,1.8446199849864018,1.8568748020065182,-0.013958064835869033
2024-01-09,BOVA11.SA,127.58999633789063,4400464,-0.0076515908314492955,4.37392423015881e-4,1.8305595684980644,1.8427209744998174,-0.02147406292556553
2024-01-10,BOVA11.SA,126.94000244140625,5957200,-0.005107416120403841,4.37392423015881e-4,1.8212339741660153,1.8333334251563982,-0.026459061004612816
2024-01-11,BOVA11.SA,126.80999755859375,6289868,-0.0010246691167475426,4.37392423015881e-4,1.819368767731228,1.8314558271375727,-0.02745610743011362
2024-01-12,BOVA11.SA,127.2300033569336,4541810,0.0033066145450392913,4.37392423015881e-4,1.8253946761491544,1.8375217689529697,-0.024234957032798876
2024-01-15,BOVA11.SA,127.81999969482422,3422719,0.004626523295219156,4.37392423015881e-4,1.8338594733331304,1.8460428024031936,-0.019710098219604788
2024-01-16,BOVA11.SA,125.48999786376953,8011377,-0.018396964735489033,4.37392423015881e-4,1.8004304642503195,1.8123917061735404,-0.03757958086368307
2024-01-17,BOVA11.SA,124.52999877929688,7954584,-0.00767941616852879,4.37392423015881e-4,1.7866571625787924,1.7985269009440332,-0.0449421016779048
2024-01-18,BOVA11.SA,123.55999755859375,6157111,-0.007819792639066195,4.37392423015881e-4,1.772740358229096,1.7845176396697677,-0.052381331873807
2024-01-19,BOVA11.SA,123.83999633789063,11003730,0.0022635319786114567,4.37392423015881e-4,1.7767575575340657,1.7885615274215811,-0.05023393728367309
2024-01-22,BOVA11.SA,122.69999694824219,5611826,-0.009248053424956276,4.37392423015881e-4,1.760401754957848,1.7720970643248117,-0.05897693440756857
2024-01-23,BOVA11.SA,124.55000305175781,7158074,0.014964939365296113,4.37392423015881e-4,1.786944167935131,1.7988158130335496,-0.04478868291454441
2024-01-24,BOVA11.SA,123.97000122070313,4223685,-0.004667655513642105,4.37392423015881e-4,1.7786227639688528,1.7904391254404066,-0.0492368908581724
2024-01-25,BOVA11.SA,124.45999908447266,3254694,0.003944761088257333,4.37392423015881e-4,1.7856528627525499,1.7975159290060798,-0.04547895032543836
2024-01-26,BOVA11.SA,125.08000183105469,3192701,0.004969175443633709,4.37392423015881e-4,1.7945481679710342,1.8064703305905785,-0.04072396336720352
2024-01-29,BOVA11.SA,124.75,3269013,-0.002641812597080899,4.37392423015881e-4,1.789813564735689,1.8017042728026509,-0.04325484635362453
2024-01-30,BOVA11.SA,123.56999969482422,7598132,-0.009503939985188097,4.37392423015881e-4,1.7728838609072652,1.7846620957145258,-0.05230462249212675
2024-01-31,BOVA11.SA,123.94999694824219,8702170,0.00307043921388134,4.37392423015881e-4,1.7783357586125141,1.7901502133508898,-0.049390309621533124
2024-02-01,BOVA11.SA,124.55999755859375,5532976,0.004909274065178534,4.195739267733867e-4,1.787087561152829,1.7989601588906303,-0.044712032044978534
2024-02-02,BOVA11.SA,123.58000183105469,8693427,-0.007898773475910574,4.195739267733867e-4,1.7730273635854346,1.784806551759284,-0.05222791311044661
2024-02-05,BOVA11.SA,123.86000061035156,3720488,0.0022631659880791724,4.195739267733867e-4,1.7770445628904044,1.7888504395110971,-0.05008051852031292
2024-02-06,BOVA11.SA,126.87999725341797,4913304,0.024089835801784972,4.195739267733867e-4,1.8203730675574705,1.832466799075525,-0.026919258782580724
2024-02-07,BOVA11.SA,126.16999816894531,5112993,-0.00561154681240335,4.195739267733867e-4,1.8101865666168768,1.8222126236512337,-0.03236445463959525
2024-02-08,BOVA11.SA,124.51000213623047,4882585,-0.013244138305629576,4.195739267733867e-4,1.786370266682925,1.7982380990421931,-0.04509546192915159
2024-02-09,BOVA11.SA,124.12999725341797,7625708,-0.0030566697202221555,4.195739267733867e-4,1.7809182595172048,1.792749871218152,-0.048009833311859484
2024-02-14,BOVA11.SA,123.2300033569336,6783904,-0.00727682620996282,4.195739267733867e-4,1.7680058644542225,1.7797516920695171,-0.05491215634811397
2024-02-15,BOVA11.SA,124.05999755859375,3311439,0.006712744674497725,4.195739267733867e-4,1.7799139596909623,1.7917388992801986,-0.048546681959392934
2024-02-16,BOVA11.SA,124.87999725341797,9643814,0.006587954347672798,4.195739267733867e-4,1.7916786617100047,1.8035817606337994,-0.04225785844023788
2024-02-19,BOVA11.SA,125.13999938964844,4107359,0.0020798514794615097,4.195739267733867e-4,1.7954089651191072,1.8073368464837734,-0.04026382410135043
2024-02-20,BOVA11.SA,126.19000244140625,6839063,0.008355621319017363,4.195739267733867e-4,1.8104735719732155,1.8225015357407501,-0.03221103587623475
2024-02-21,BOVA11.SA,126.18000030517578,4663969,-7.926565064666089e-5,4.195739267733867e-4,1.8103300692950461,1.8223570796959918,-0.03228774525791511
2024-02-22,BOVA11.SA,126.30000305175781,6034254,9.505921579764811e-4,4.195739267733867e-4,1.8120517730516639,1.8240902216700592,-0.03136740821409456
2024-02-23,BOVA11.SA,125.61000061035156,4046434,-0.005478179960953075,4.195739267733867e-4,1.8021521680069372,1.814124848147607,-0.03665924381986285
2024-02-26,BOVA11.SA,125.7699966430664,3146684,0.0012729418097502184,4.195739267733867e-4,1.8044476635552893,1.8164355939253531,-0.035432186273549604
2024-02-27,BOVA11.SA,127.83999633789063,4383517,0.016324638003915117,4.195739267733867e-4,1.8341463692289977,1.8463316043050322,-0.019556737968358884
2024-02-28,BOVA11.SA,126.26000213623047,4808666,-0.012436163513150479,4.195739267733867e-4,1.811477871799458,1.8235125076787033,-0.03167418722870141
2024-02-29,BOVA11.SA,125.25,8591622,-0.008031549893802425,4.195739267733867e-4,1.7969871661975556,1.8089255324130822,-0.03942019643921035
2024-03-01,BOVA11.SA,125.23999786376953,3484857,-7.986056386347238e-5,4.195739267733867e-4,1.7968436635193863,1.808781076368324,-0.03949690582089049
2024-03-04,BOVA11.SA,124.5,5601510,-0.005926163496348367,4.195739267733867e-4,1.7862267640047558,1.7980936429974352,-0.04517217131083173
2024-03-05,BOVA11.SA,124.4000015258789,3539742,-8.03523333775661e-4,4.195739267733867e-4,1.784792065604477,1.7966494131128845,-0.04593908959129167
2024-03-06,BOVA11.SA,125.1500015258789,3578884,0.0060108374991969995,4.195739267733867e-4,1.7955524677972765,1.8074813025285317,-0.04018711471967018
2024-03-07,BOVA11.SA,124.66999816894531,3472675,-0.003842798400511799,4.195739267733867e-4,1.7886657622312774,1.8005488448199394,-0.04386840438283823
2024-03-08,BOVA11.SA,123.26000213623047,8287551,-0.011374268804482281,4.195739267733867e-4,1.768436263028259,1.7801849500161149,-0.05468208671518726
2024-03-11,BOVA11.SA,122.31999969482422,4301093,-0.007655403739279504,4.195739267733867e-4,1.754949857252599,1.766608946688447,-0.06189124727816275
2024-03-12,BOVA11.SA,123.80999755859375,3156281,0.012107553587715283,4.195739267733867e-4,1.7763271589600291,1.7881282694749832,-0.050464006916600024
2024-03-13,BOVA11.SA,124.37000274658203,5419376,0.004512903035983514,4.195739267733867e-4,1.7843616670304403,1.7962161551662867,-0.04616915922421838
2024-03-14,BOVA11.SA,123.81999969482422,4233788,-0.004432120123195563,4.195739267733867e-4,1.7764706616381984,1.7882727255197413,-0.05038729753491977
2024-03-15,BOVA11.SA,122.87000274658203,6690411,-0.007701987393372698,4.195739267733867e-4,1.7628408626448409,1.7745523763349924,-0.05767310896746136
2024-03-18,BOVA11.SA,123.05000305175781,2753627,0.0014638934049814505,4.195739267733867e-4,1.7654233635495316,1.7771520342022546,-0.05629263265778772
2024-03-19,BOVA11.SA,123.7300033569336,7484705,0.005510997718983008,4.195739267733867e-4,1.7751794659160889,1.7869729516799486,-0.05107750643369957
2024-03-20,BOVA11.SA,125.44999694824219,6863547,0.01380544912893883,4.195739267733867e-4,1.7998565629981136,1.811813992182184,-0.03788635987829014
2024-03-21,BOVA11.SA,124.37000274658203,3950590,-0.008646232736335,4.016754138975731e-4,1.7843616670304403,1.7962161551662867,-0.04616915922421838
2024-03-22,BOVA11.SA,123.20999908447266,3379827,-0.009370806543657241,4.016754138975731e-4,1.7677188590978836,1.779462779980001,-0.05506557511147425
2024-03-25,BOVA11.SA,123.19000244140625,3299498,-1.6231041385129715e-4,4.016754138975731e-4,1.7674319632020166,1.7791739780781615,-0.05521893536272071
2024-03-26,BOVA11.SA,123.23999786376953,3841275,4.0575760246148237e-4,4.016754138975731e-4,1.7681492576719202,1.779896037926598,-0.054835505478547986
2024-03-27,BOVA11.SA,124.05000305175781,3296437,0.006551078344278216,4.016754138975731e-4,1.7797705664732646,1.7915945534231177,-0.04862333282895892
2024-03-28,BOVA11.SA,124.33000183105469,3733310,0.0022546009533821938,4.016754138975731e-4,1.7837877657782344,1.7956384411749309,-0.04647593823882523
2024-04-01,BOVA11.SA,123.29000091552734,3129542,-0.008400024385957171,4.016754138975731e-4,1.7688666616022954,1.7806182079627122,-0.05445201708226077
2024-04-02,BOVA11.SA,123.73999786376953,4144172,0.0036432615327139984,4.016754138975731e-4,1.7753228591337868,1.7871172975370297,-0.051000855564133474
2024-04-03,BOVA11.SA,123.54000091552734,4154131,-0.001617575160449435,4.016754138975731e-4,1.7724534623332289,1.7842288377679278,-0.05253469212505357
2024-04-04,BOVA11.SA,123.68000030517578,7346367,0.001132589628044852,4.016754138975731e-4,1.7744620619857137,1.7862507816438347,-0.05146099482998667
2024-04-05,BOVA11.SA,122.9000015258789,4733645,-0.006326558318971909,4.016754138975731e-4,1.7632712612188775,1.77498563428159,-0.05744303933453476
2024-04-08,BOVA11.SA,125.12999725341797,3885696,0.017982145939532374,4.016754138975731e-4,1.7952654624409379,1.807192390439015,-0.040340533483030794
2024-04-09,BOVA11.SA,126.20999908447266,7345517,0.008594004089404184,4.016754138975731e-4,1.8107604678690827,1.8227903376425896,-0.0320576756249884
2024-04-10,BOVA11.SA,124.1500015258789,7337316,-0.01645665477175623,4.016754138975731e-4,1.7812052648735437,1.7930387833076684,-0.04785641454849898
2024-04-11,BOVA11.SA,123.72000122070313,5565522,-0.003469566561254453,4.016754138975731e-4,1.7750359632379196,1.7868284956351905,-0.05115421581537971
2024-04-12,BOVA11.SA,122.12000274658203,7827786,-0.013016767326006207,4.016754138975731e-4,1.752080460452041,1.7637204869193452,-0.06342508383908274
2024-04-15,BOVA11.SA,121.55000305175781,5630895,-0.004678464488373994,4.016754138975731e-4,1.743902559163932,1.7554882553709605,-0.06779658240103048
2024-04-16,BOVA11.SA,120.8499984741211,4825202,-0.0057756313458780595,4.016754138975731e-4,1.7338594514410361,1.7453784258037501,-0.07316512738847913
2024-04-17,BOVA11.SA,120.54000091552734,8562974,-0.0025684388731560246,4.016754138975731e-4,1.7294118535620298,1.7409012801053394,-0.07554259161153942
2024-04-18,BOVA11.SA,120.4800033569336,7058394,-4.978637355363717e-4,4.016754138975731e-4,1.7285510564139568,1.740034764212144,-0.07600273087739273
2024-04-19,BOVA11.SA,121.5199966430664,6952199,0.00859503874840345,4.016754138975731e-4,1.7434720511294242,1.7550548872366858,-0.06802671054607135
2024-04-22,BOVA11.SA,121.80000305175781,5962998,0.00230154966829805,4.016754138975731e-4,1.7474893598948653,1.7590988851761764,-0.06587925744382328
2024-04-23,BOVA11.SA,121.41000366210938,3925593,-0.0032071026122348152,4.016754138975731e-4,1.7418939595114473,1.7534663114950537,-0.06887027969609749
2024-04-24,BOVA11.SA,120.97000122070313,3023353,-0.003630686656330195,4.016754138975731e-4,1.7355811551976539,1.7471115677778173,-0.0722447903446587
2024-04-25,BOVA11.SA,120.91000366210938,2680171,-4.960935886644325e-4,4.016754138975731e-4,1.7347203580495807,1.7462450518846224,-0.07270492961051178
2024-04-26,BOVA11.SA,122.83000183105469,5902605,0.015754802984180048,4.016754138975731e-4,1.762266961392635,1.7739746623436365,-0.05797988798206821
2024-04-29,BOVA11.SA,123.7699966430664,3936000,0.00762367697134807,4.016754138975731e-4,1.7757532577078232,1.7875505554836275,-0.05077078593120676
2024-04-30,BOVA11.SA,122.37999725341797,4898110,-0.011294041838246465,4.016754138975731e-4,1.7558106544006722,1.7674754625816422,-0.06143110801230944
2024-05-02,BOVA11.SA,123.3499984741211,4216364,0.00789489501371474,4.016754138975731e-4,1.7697274587503686,1.7814847238559073,-0.053991877816407574
2024-05-03,BOVA11.SA,124.81999969482422,7876633,0.011846866455923893,4.016754138975731e-4,1.7908178645619315,1.8027152447406045,-0.04271799770609097
2024-05-06,BOVA11.SA,124.70999908447266,2494676,-8.816624695646544e-4,4.016754138975731e-4,1.7892396634834833,1.8011265588112955,-0.04356162536823127
2024-05-07,BOVA11.SA,125.4000015258789,4458951,0.005517605775508309,4.016754138975731e-4,1.79913926852821,1.8110919323337475,-0.03826978976246298
2024-05-08,BOVA11.SA,125.75,2563466,0.0027871686129348886,4.016754138975731e-4,1.804160767659422,1.816146792023514,-0.03558554652479584
2024-05-09,BOVA11.SA,124.5199966430664,5235426,-0.009829490365432772,3.926959255591278e-4,1.786513659900623,1.7983824448992747,-0.04501881105958527
2024-05-10,BOVA11.SA,124.01000213623047,5481906,-0.0041040938734590564,3.926959255591278e-4,1.7791966652210587,1.7910168394317623,-0.04893011184356566
2024-05-13,BOVA11.SA,124.55999755859375,5019698,0.004425283184543074,3.926959255591278e-4,1.787087561152829,1.7989601588906303,-0.044712032044978534
2024-05-14,BOVA11.SA,124.80999755859375,4930941,0.0020050534438796615,3.926959255591278e-4,1.7906743618837622,1.8025707886958462,-0.04279470708777122
2024-05-15,BOVA11.SA,124.2300033569336,8376018,-0.004657848121870458,3.926959255591278e-4,1.7823530673779555,1.7941942112903801,-0.04724285651928517
2024-05-16,BOVA11.SA,124.55000305175781,5538316,0.002572552962950772,3.926959255591278e-4,1.786944167935131,1.7988158130335492,-0.04478868291454463
2024-05-17,BOVA11.SA,124.37000274658203,5037651,-0.001446250460850981,3.926959255591278e-4,1.7843616670304403,1.7962161551662867,-0.04616915922421838
2024-05-20,BOVA11.SA,124.12000274658203,3448725,-0.002012154040989194,3.926959255591278e-4,1.780774866299507,1.792605525361071,-0.04808648418142547
2024-05-21,BOVA11.SA,123.69999694824219,2766833,-0.0033896069808149235,3.926959255591278e-4,1.774748957881581,1.786539583545674,-0.05130763457874021
2024-05-22,BOVA11.SA,122.06999969482422,3620178,-0.013264606546102922,3.926959255591278e-4,1.7513630565216658,1.7629983168832313,-0.06380857223536984
2024-05-23,BOVA11.SA,121.0999984741211,5528040,-0.007978010222811466,3.926959255591278e-4,1.7374462521719694,1.7489890556089658,-0.07124780243127193
2024-05-24,BOVA11.SA,120.63999938964844,3789370,-0.003805738758524672,3.926959255591278e-4,1.7308465519623089,1.7423455099898901,-0.07477567333107948
2024-05-27,BOVA11.SA,120.87000274658203,2204985,0.0019047113944381782,3.926959255591278e-4,1.7341464567973748,1.7456673378932663,-0.07301170862511874
2024-05-28,BOVA11.SA,120.18000030517578,5527640,-0.005724989149699622,3.926959255591278e-4,1.7242468517526481,1.7357019643708143,-0.07830354423088703
2024-05-29,BOVA11.SA,119.12000274658203,6164411,-0.008859210012080846,3.926959255591278e-4,1.7090388516808421,1.7203929292567561,-0.08643298332556892
2024-05-31,BOVA11.SA,118.66000366210938,3978396,-0.0038691197403206835,3.926959255591278e-4,1.7024391514711816,1.7137493836376807,-0.08996085422537625
2024-06-03,BOVA11.SA,118.44000244140625,4015018,-0.0018557678462910944,3.926959255591278e-4,1.6992827493142848,1.7105720117790624,-0.09164810954965696
2024-06-04,BOVA11.SA,118.16000366210938,4270901,-0.0023668546304867377,3.926959255591278e-4,1.695265550009315,1.7065281240272492,-0.09379550413979065
2024-06-05,BOVA11.SA,117.9000015258789,3475377,-0.0022028487304546498,3.926959255591278e-4,1.6915352466002125,1.7027730381772752,-0.0957895384786781
2024-06-06,BOVA11.SA,119.4000015258789,4179139,0.012642393252586811,3.926959255591278e-4,1.713056050985812,1.7244368170085698,-0.08428558873543501
2024-06-07,BOVA11.SA,117.12999725341797,6271674,-0.01919480810527964,3.926959255591278e-4,1.680487839051074,1.6916522366721116,-0.10169493211365999
2024-06-10,BOVA11.SA,117.3499984741211,5054211,0.0018765036614523866,3.926959255591278e-4,1.6836442412079706,1.6948296085307302,-0.10000767678937927
2024-06-11,BOVA11.SA,118,5365316,0.005523715171435004,3.926959255591278e-4,1.6929699450004916,1.7042172680618264,-0.09502262019821783
2024-06-12,BOVA11.SA,116.45999908447266,13576008,-0.013136765917993874,3.926959255591278e-4,1.670875239362686,1.681975775239176,-0.10683334895606789
2024-06-13,BOVA11.SA,116.18000030517578,6118398,-0.0024071433565347094,3.926959255591278e-4,1.6668580400577164,1.6779318874873628,-0.10898074354620158
2024-06-14,BOVA11.SA,116.22000122070313,5884307,3.442419592058356e-4,3.926959255591278e-4,1.6674319413099221,1.6785096014787186,-0.10867396453159461
2024-06-17,BOVA11.SA,115.73999786376953,3690929,-0.004138679461798853,3.926959255591278e-4,1.660545235743923,1.6715771437701263,-0.11235525419476267
2024-06-18,BOVA11.SA,116.12000274658203,4144535,0.003277885120848527,3.926959255591278e-4,1.6659972429096432,1.677065371594168,-0.10944088281205466
2024-06-19,BOVA11.SA,116.76000213623047,7572350,0.005496401472432371,3.926959255591278e-4,1.6751794440239947,1.686308575080506,-0.10453253560257336
2024-06-20,BOVA11.SA,117.12000274658203,10357458,0.003078509382184996,3.926959255591278e-4,1.6803444458333763,1.691507890815031,-0.10177158298322586
2024-06-21,BOVA11.SA,118.0199966430664,8814447,0.007654999521244642,3.926959255591278e-4,1.6932568408963586,1.7045060699636658,-0.09486925994697148
2024-06-24,BOVA11.SA,119.08000183105469,4647760,0.00894147833899895,3.926959255591278e-4,1.7084649504286362,1.7198152152654012,-0.08673976234017533
2024-06-25,BOVA11.SA,118.9000015258789,3960912,-0.0015127349942203189,3.926959255591278e-4,1.7058824495239455,1.7172155573981385,-0.08812023864984919
2024-06-26,BOVA11.SA,119.13999938964844,4157092,0.0020164505475315096,3.926959255591278e-4,1.7093257475767094,1.720681731158596,-0.08627962307432224
2024-06-27,BOVA11.SA,120.80000305175781,3979875,0.013837043686046352,3.926959255591278e-4,1.7331421569711325,1.7446563659553136,-0.07354855727265186
2024-06-28,BOVA11.SA,120.37999725341797,6187617,-0.0034829274599187336,3.926959255591278e-4,1.7271162485532061,1.7385904241399164,-0.07676970766996671
2024-07-01,BOVA11.SA,121.08000183105469,4326923,0.005798115972511312,3.926959255591278e-4,1.7371593562761023,1.7487002537071268,-0.07140116268251817
2024-07-02,BOVA11.SA,121.33000183105469,5692791,0.0020626218791035046,3.926959255591278e-4,1.7407461570070355,1.7523108835123424,-0.06948383772531108
2024-07-03,BOVA11.SA,122.13999938964844,7489909,0.006653801642535169,3.926959255591278e-4,1.7523673563479083,1.7640092888211847,-0.06327172358783639
2024-07-04,BOVA11.SA,122.62000274658203,7382593,0.003922241935835869,3.926959255591278e-4,1.7592540619139077,1.7709417465297765,-0.05959043392466856
2024-07-05,BOVA11.SA,122.69999694824219,5502079,6.521621114863203e-4,3.926959255591278e-4,1.760401754957848,1.772097064324811,-0.058976934407568904
