data,sigma_ewma_094,sigma_ewma_097,sigma_garch_norm,sigma_egarch_norm,sigma_egarch_std,sigma_gjr_norm
2011-01-04,NA,NA,NA,NA,NA,NA
2011-01-05,0.01571495314063455,0.015919865890377145,NA,NA,NA,NA
2011-01-06,0.015357375275966966,0.015738242284709148,NA,NA,NA,NA
2011-01-07,0.015037038798337107,0.01557140814424804,NA,NA,NA,NA
2011-01-10,0.014622521521653904,0.015356785634886636,NA,NA,NA,NA
2011-01-11,0.01417723683129849,0.015124762391987158,NA,NA,NA,NA
2011-01-12,0.013813887108732872,0.014927833803262071,NA,NA,NA,NA
2011-01-13,0.014137319837323994,0.015046590553100491,NA,NA,NA,NA
2011-01-14,0.014148804731361398,0.015025519511539602,NA,NA,NA,NA
2011-01-17,0.013747810539988654,0.014812350232569698,NA,NA,NA,NA
2011-01-18,0.013349154387497947,0.014597685802145398,NA,NA,NA,NA
2011-01-19,0.012956100390120035,0.014383183332261906,NA,NA,NA,NA
2011-01-20,0.012961499132857737,0.014344875783081593,NA,NA,NA,NA
2011-01-21,0.012717310169435772,0.014195315081937878,NA,NA,NA,NA
2011-01-24,0.012412459458188915,0.014017248176206759,NA,NA,NA,NA
2011-01-26,0.012114758009825135,0.013840517672837439,NA,NA,NA,NA
2011-01-27,0.012082141757727516,0.013777574036319337,NA,NA,NA,NA
2011-01-28,0.011948333700989402,0.013671082942045068,NA,NA,NA,NA
2011-01-31,0.012617577778185866,0.01392101753716727,NA,NA,NA,NA
2011-02-01,0.012247661295363641,0.013717068001958786,NA,NA,NA,NA
2011-02-02,0.013035317812143673,0.014034618761414574,NA,NA,NA,NA
2011-02-03,0.013473679337725874,0.01421158877799895,NA,NA,NA,NA
2011-02-04,0.013066589624489392,0.013998365752238706,NA,NA,NA,NA
2011-02-07,0.013892959743092686,0.014364434286044142,NA,NA,NA,NA
2011-02-08,0.013481725530014919,0.014153041705646349,NA,NA,NA,NA
2011-02-09,0.013086821517500725,0.013946541743968059,NA,NA,NA,NA
2011-02-10,0.013938901597096497,0.014329090441894544,NA,NA,NA,NA
2011-02-11,0.013656286331887384,0.01418070966347303,NA,NA,NA,NA
2011-02-14,0.013840905374872167,0.014254572180992181,NA,NA,NA,NA
2011-02-15,0.013854997851487463,0.014249186468124632,NA,NA,NA,NA
2011-02-16,0.013467849782541425,0.014050550546772737,NA,NA,NA,NA
2011-02-17,0.01355378929250409,0.014074730338112873,NA,NA,NA,NA
2011-02-18,0.013196623315237882,0.013888451337812498,NA,NA,NA,NA
2011-02-21,0.012992721374449864,0.013771597766727497,NA,NA,NA,NA
2011-02-22,0.013066610461968914,0.013783840984423569,NA,NA,NA,NA
2011-02-23,0.013081428132288533,0.013769904135178318,NA,NA,NA,NA
2011-02-24,0.012834840815638127,0.01363306104093714,NA,NA,NA,NA
2011-02-25,0.012454594549627223,0.013431992786807194,NA,NA,NA,NA
2011-02-28,0.012091522450939418,0.01323644136363499,NA,NA,NA,NA
2011-03-01,0.011916475796504036,0.013123725314968814,NA,NA,NA,NA
2011-03-02,0.012130668412413986,0.013187138938464502,NA,NA,NA,NA
2011-03-03,0.012110690422368633,0.013147473561567268,NA,NA,NA,NA
2011-03-04,0.012214146291685287,0.013165436470541324,NA,NA,NA,NA
2011-03-09,0.011842276953714169,0.012966552893193881,NA,NA,NA,NA
2011-03-10,0.012006137534053711,0.01300955965190831,NA,NA,NA,NA
2011-03-11,0.012547805193584277,0.013234260144255359,NA,NA,NA,NA
2011-03-14,0.012427779885943731,0.01315734941516713,NA,NA,NA,NA
2011-03-15,0.012174165856896244,0.013016764591076164,NA,NA,NA,NA
2011-03-16,0.011816284927482032,0.012826009614231401,NA,NA,NA,NA
2011-03-17,0.01223295113162449,0.012991163018794188,NA,NA,NA,NA
2011-03-18,0.01188175080281428,0.012804765295031885,NA,NA,NA,NA
2011-03-21,0.011977486137685048,0.012822656507774144,NA,NA,NA,NA
2011-03-22,0.011662336814005048,0.0126517458256422,NA,NA,NA,NA
2011-03-23,0.01167796828963219,0.012630415550077238,NA,NA,NA,NA
2011-03-24,0.011368654461269877,0.012460678304284314,NA,NA,NA,NA
2011-03-25,0.01104665345917784,0.01228327977415949,NA,NA,NA,NA
2011-03-28,0.010726172117975994,0.012104732857771883,NA,NA,NA,NA
2011-03-29,0.010573554037927353,0.011998124112738501,NA,NA,NA,NA
2011-03-30,0.010280586852189933,0.011829435515862588,NA,NA,NA,NA
2011-03-31,0.010214535822422703,0.011757182072548817,NA,NA,NA,NA
2011-04-01,0.009980195953212994,0.011612419095044938,NA,NA,NA,NA
2011-04-04,0.010251192478302161,0.01168470265950598,NA,NA,NA,NA
2011-04-05,0.010051085831803228,0.011556712592956028,NA,NA,NA,NA
2011-04-06,0.0097449540161513,0.011382069616671871,NA,NA,NA,NA
2011-04-07,0.009782643405939095,0.011352615512503684,NA,NA,NA,NA
2011-04-08,0.009485236193393374,0.011181288958974182,NA,NA,NA,NA
2011-04-11,0.009263658498017408,0.011040494048347865,NA,NA,NA,NA
2011-04-12,0.009275930615312285,0.01099654284926822,NA,NA,NA,NA
2011-04-13,0.009999125869740005,0.011262652323033369,NA,NA,NA,NA
2011-04-14,0.009781345997021131,0.011130476110709681,NA,NA,NA,NA
2011-04-15,0.009529165553608498,0.010982087629420396,NA,NA,NA,NA
2011-04-18,0.009341334962092256,0.010860017609869101,NA,NA,NA,NA
2011-04-19,0.009983542048727728,0.011100670505002882,NA,NA,NA,NA
2011-04-20,0.009853987851754358,0.011010597386967115,NA,NA,NA,NA
