serie,ann_ret_lo,ann_ret_hi,sharpe_lo,sharpe_hi,mdd_lo,mdd_hi
ret_bh,-0.08904817101222982,0.17506179514193992,-0.24467942950796762,0.8399300064338726,-0.8369419873867522,-0.31587016871782714
retEW094_10a_cap1_c00,-0.031313544675099836,0.06431002525992438,-0.2633368684609496,0.6853609881792377,-0.519417427623705,-0.15933025272123091
retEW094_10a_cap1_c10,-0.03454190008022924,0.06711922004041657,-0.2983873957373279,0.7123986875050607,-0.526255362293266,-0.1610139837963224
retEW094_10a_cap1_c25,-0.040890787240936866,0.06692988411702935,-0.37349440996757943,0.7217026876745107,-0.54813021031707,-0.16054916920149376
retEW097_10a_cap1_c00,-0.03159166862533611,0.07593684224757133,-0.24338510264584534,0.7506101720274547,-0.5192997129876465,-0.16853388173424763
retEW097_10a_cap1_c10,-0.03722316512319067,0.07068626839604641,-0.2907652948024937,0.697703271012427,-0.568215195086385,-0.1725654297074854
retEW097_10a_cap1_c25,-0.03799557662829001,0.07029230942692163,-0.30236403928106365,0.69370549784043,-0.5696553086653585,-0.1800298934973814
ret_10a_cap1_c00,-0.03742824059776013,0.06523573781368111,-0.3204851536048451,0.696361887989372,-0.527491772945408,-0.16073839250453242
ret_10a_cap1_c10,-0.03392539976859458,0.07061768975060315,-0.2859735139024163,0.7404581842077841,-0.5230539195547618,-0.16062678255799465
ret_10a_cap1_c25,-0.04005763346070895,0.06392505498154671,-0.34889589222387446,0.6775373985606554,-0.5516004953661795,-0.1620684826176561
ret_egarch_norm_10a_cap1_c00,-0.032488260576981905,0.07537268367037463,-0.27355976940333826,0.7813555130908404,-0.5275935173733676,-0.16186766563801186
ret_egarch_norm_10a_cap1_c10,-0.0381079971643931,0.06412839519686285,-0.31625933109807114,0.669984738701772,-0.5500201673326564,-0.1711554432594538
ret_egarch_norm_10a_cap1_c25,-0.037595810807329905,0.06436019435311185,-0.31188539300120155,0.6700624072502619,-0.5614658503621035,-0.17584115983223197
ret_egarch_std_10a_cap1_c00,-0.03635411809381302,0.07623296946967845,-0.29297930735190014,0.7624129939635313,-0.5680580994543815,-0.16199197035936988
ret_egarch_std_10a_cap1_c10,-0.03521515123745579,0.07185769353532465,-0.28853798325953584,0.7393522238045538,-0.5496533192636456,-0.16677305593822683
ret_egarch_std_10a_cap1_c25,-0.04720705759310129,0.05987862481005431,-0.4080950649578707,0.6169229719404352,-0.5990047135274784,-0.17929750929206592
ret_gjr_norm_10a_cap1_c00,-0.04038680434620022,0.07565510009889392,-0.315888768319847,0.7446466427740441,-0.5644737370721566,-0.17072642321267625
ret_gjr_norm_10a_cap1_c10,-0.04230974702101462,0.06683726538471804,-0.3458151741535336,0.6583512607247071,-0.5716570743693532,-0.1752428268471014
ret_gjr_norm_10a_cap1_c25,-0.04665639788503405,0.059919560113166556,-0.38609445824949384,0.5966738865059213,-0.5874860905846877,-0.18236648427534818
retEW094_12a_cap1_c00,-0.0422018332170626,0.08445082626202953,-0.2930742478352818,0.741891513780442,-0.578111098789926,-0.18650770448150109
retEW094_12a_cap1_c10,-0.04196506643142755,0.0803619766377337,-0.2935774910891259,0.7081680750333453,-0.5933170147915439,-0.19846452782092425
retEW094_12a_cap1_c25,-0.04166545135026842,0.07299819810909443,-0.2911065871005387,0.6641172993389639,-0.600523564328253,-0.19857328986479128
retEW097_12a_cap1_c00,-0.03893393297203162,0.09675863749576682,-0.23202284473551302,0.8034785072918721,-0.6020356382207084,-0.19439793140078646
retEW097_12a_cap1_c10,-0.04384608892088286,0.08658515199997881,-0.2766401927451212,0.7191262713759701,-0.6235534197651689,-0.19902617126620664
retEW097_12a_cap1_c25,-0.04671642368347359,0.07811452718538786,-0.297562038151179,0.6689828739468675,-0.6368974196601439,-0.2103723655655988
ret_12a_cap1_c00,-0.03321835380855225,0.08108519313979759,-0.22778043093506617,0.726177615478755,-0.5572327324566351,-0.1873186225586437
ret_12a_cap1_c10,-0.03993583745973969,0.08471519582393144,-0.2742242735654003,0.748924616504048,-0.5996877417504825,-0.19033615361963835
ret_12a_cap1_c25,-0.0425693515139844,0.0775815565651025,-0.299750769206642,0.6969020770286849,-0.5948545063724562,-0.18182018193371402
ret_egarch_norm_12a_cap1_c00,-0.039990144650763684,0.08608505610049252,-0.26843358436924036,0.7451818279080296,-0.6208192238071564,-0.2012685916130778
ret_egarch_norm_12a_cap1_c10,-0.045491993074692164,0.07849001138615619,-0.3126524713255306,0.6896737730735176,-0.6195041237806878,-0.1992446365444292
ret_egarch_norm_12a_cap1_c25,-0.0497042161328458,0.07494785136554935,-0.3407650899854433,0.648494639203822,-0.6244145727886133,-0.20572322263419485
ret_egarch_std_12a_cap1_c00,-0.038781536465102906,0.09231592653253659,-0.2526794490497922,0.7652347482798116,-0.6164305863161464,-0.1876963837101416
ret_egarch_std_12a_cap1_c10,-0.04738481827746925,0.07810234734511072,-0.3234390501923891,0.6630292895760703,-0.6212149868518979,-0.20062652227001831
ret_egarch_std_12a_cap1_c25,-0.047005328428537774,0.07287363289326097,-0.330724419957986,0.624324388450894,-0.6213358333962022,-0.20293340021211134
ret_gjr_norm_12a_cap1_c00,-0.04619667990926696,0.09177684361367269,-0.3003379580134834,0.7586441325341593,-0.6135855088146476,-0.19800293474152075
ret_gjr_norm_12a_cap1_c10,-0.044166423546341656,0.08462954413932439,-0.27838790985634154,0.7051534425759172,-0.6162490710770193,-0.20893436635183588
ret_gjr_norm_12a_cap1_c25,-0.057989537921473294,0.07725385101989315,-0.39673417239199293,0.65031668422276,-0.6744862846847847,-0.20418878845975674
retEW094_15a_cap1_c00,-0.05024789962541032,0.09567575702338424,-0.26866482705045075,0.7127096360991724,-0.671231948204398,-0.23402633504617135
