janela,serie,ann_ret,ann_vol,sharpe,mdd,n
SUB_1,ret_bh,-0.08438123828057598,0.23430536042866754,-0.6819032213020954,-0.3978873239436618,1204
SUB_1,retEW094_10a_cap1_c10,-0.05395856867292992,0.09926238892870604,-1.5072015569462633,-0.27571104576372385,1204
SUB_1,retEW097_10a_cap1_c10,-0.05711497962211054,0.10667259509709878,-1.4266877278898866,-0.286355719159063,1204
SUB_1,ret_10a_cap1_c10,-0.05395856867292992,0.09926238892870604,-1.5072015569462633,-0.27571104576372385,1204
SUB_1,ret_egarch_norm_10a_cap1_c10,-0.05423563579594681,0.10240776116606651,-1.4606663985493797,-0.2749158562054793,1204
SUB_1,ret_egarch_std_10a_cap1_c10,-0.061553890641024456,0.10362163757899392,-1.5173037431161172,-0.29451727086804014,1204
SUB_1,ret_gjr_norm_10a_cap1_c10,-0.06144969823390478,0.10652009137431236,-1.4721063492662099,-0.2935213372849764,1204
SUB_1,retEW094_12a_cap1_c10,-0.0657711432812198,0.11909475747808414,-1.3435298210439879,-0.32343847079719723,1204
SUB_1,retEW097_12a_cap1_c10,-0.06968134181694441,0.12798836036174038,-1.2743543663307328,-0.3357373600468184,1204
SUB_1,ret_12a_cap1_c10,-0.0657711432812198,0.11909475747808414,-1.3435298210439879,-0.32343847079719723,1204
SUB_1,ret_egarch_norm_12a_cap1_c10,-0.0661712462011318,0.12286982218631477,-1.3020060951042887,-0.3226954836022644,1204
SUB_1,ret_egarch_std_12a_cap1_c10,-0.07459837207409936,0.1243459650947927,-1.3579799076902652,-0.34469696585061704,1204
SUB_1,ret_gjr_norm_12a_cap1_c10,-0.07454350174400892,0.12782410964917482,-1.3171164023050554,-0.34372405865980915,1204
SUB_1,retEW094_15a_cap1_c10,-0.08389311835958069,0.1488474793979417,-1.179757035871886,-0.3905959283676105,1204
SUB_1,retEW097_15a_cap1_c10,-0.08869702985834604,0.15959605585322315,-1.1228322688411998,-0.40411970361832006,1204
SUB_1,ret_15a_cap1_c10,-0.08389311835958069,0.1488474793979417,-1.179757035871886,-0.3905959283676105,1204
SUB_1,ret_egarch_norm_15a_cap1_c10,-0.08451583436556942,0.1535669549319064,-1.1432536908468214,-0.3900111875515103,1204
SUB_1,ret_egarch_std_15a_cap1_c10,-0.09415387371919204,0.1550312699471366,-1.1992564876231893,-0.41357761926665537,1204
SUB_1,ret_gjr_norm_15a_cap1_c10,-0.09421269532970566,0.15938979902556621,-1.1625404095953469,-0.41272087181426653,1204
SUB_1,retEW094_10a_cap15_c10,-0.05395856867292992,0.09926238892870604,-1.5072015569462633,-0.27571104576372385,1204
SUB_1,retEW097_10a_cap15_c10,-0.05711497962211054,0.10667259509709878,-1.4266877278898866,-0.286355719159063,1204
SUB_1,ret_10a_cap15_c10,-0.05395856867292992,0.09926238892870604,-1.5072015569462633,-0.27571104576372385,1204
SUB_1,ret_egarch_norm_10a_cap15_c10,-0.05423563579594681,0.10240776116606651,-1.4606663985493797,-0.2749158562054793,1204
SUB_1,ret_egarch_std_10a_cap15_c10,-0.061553890641024456,0.10362163757899392,-1.5173037431161172,-0.29451727086804014,1204
SUB_1,ret_gjr_norm_10a_cap15_c10,-0.06144969823390478,0.10652009137431236,-1.4721063492662099,-0.2935213372849764,1204
SUB_1,retEW094_12a_cap15_c10,-0.0657711432812198,0.11909475747808414,-1.3435298210439879,-0.32343847079719723,1204
SUB_1,retEW097_12a_cap15_c10,-0.06968134181694441,0.12798836036174038,-1.2743543663307328,-0.3357373600468184,1204
SUB_1,ret_12a_cap15_c10,-0.0657711432812198,0.11909475747808414,-1.3435298210439879,-0.32343847079719723,1204
SUB_1,ret_egarch_norm_12a_cap15_c10,-0.0661712462011318,0.12286982218631477,-1.3020060951042887,-0.3226954836022644,1204
SUB_1,ret_egarch_std_12a_cap15_c10,-0.07459837207409936,0.1243459650947927,-1.3579799076902652,-0.34469696585061704,1204
SUB_1,ret_gjr_norm_12a_cap15_c10,-0.07454350174400892,0.12782410964917482,-1.3171164023050554,-0.34372405865980915,1204
SUB_1,retEW094_15a_cap15_c10,-0.08389311835958069,0.1488474793979417,-1.179757035871886,-0.3905959283676105,1204
SUB_1,retEW097_15a_cap15_c10,-0.08909105684689522,0.15996498268349155,-1.122584696955014,-0.4053496706144265,1204
SUB_1,ret_15a_cap15_c10,-0.08389311835958069,0.1488474793979417,-1.179757035871886,-0.3905959283676105,1204
SUB_1,ret_egarch_norm_15a_cap15_c10,-0.08451583436556942,0.1535669549319064,-1.1432536908468214,-0.3900111875515103,1204
SUB_1,ret_egarch_std_15a_cap15_c10,-0.09465073604684981,0.15543143275659282,-1.1993094772468633,-0.41511283056543,1204
SUB_1,ret_gjr_norm_15a_cap15_c10,-0.09470953734161713,0.15977914210221186,-1.162762111950159,-0.4142583629517551,1204
SUB_2,ret_bh,0.1731178588010367,0.28271622110761263,0.4290143826011592,-0.4693169006552961,1204
SUB_2,retEW094_10a_cap1_c10,0.07718861960636914,0.10024739416554643,0.005788912871648079,-0.14044077600267135,1204
SUB_2,retEW097_10a_cap1_c10,0.08385303673204891,0.11015085296021027,0.07077424879698477,-0.16101245026437672,1204
SUB_2,ret_10a_cap1_c10,0.07718861960636914,0.10024739416554643,0.005788912871648079,-0.14044077600267135,1204
SUB_2,ret_egarch_norm_10a_cap1_c10,0.07363382567936827,0.10447196144806242,-0.021923119770034857,-0.16101245026437683,1204
SUB_2,ret_egarch_std_10a_cap1_c10,0.08444320158291796,0.1052680753198989,0.07419301635731917,-0.14226692248864825,1204
