grupo,serie,ann_ret,ann_vol,sharpe,sortino,mdd,calmar,n
COVID(2020-02-20..2020-09-30),ret_bh,-0.28984039706783704,0.535068883808774,-0.41839310960521553,-0.6300171494432028,-0.445190552787727,-0.6510479507098547,153
COVID(2020-02-20..2020-09-30),ret_egarch_std_15a_cap1_c10,-0.18795823382034593,0.16567756424068766,-1.3373707151785676,-1.275763543293851,-0.172154624908893,-1.09179892157888,153
COVID(2020-02-20..2020-09-30),ret_egarch_std_15a_cap15_c10,-0.18795823382034593,0.16567756424068766,-1.3373707151785676,-1.275763543293851,-0.172154624908893,-1.09179892157888,153
COVID(2020-02-20..2020-09-30),retEW097_15a_cap1_c10,-0.22540146748216294,0.1960445296352353,-1.3424299304267717,-1.2514734579919287,-0.20185982651697654,-1.1166237055257082,153
COVID(2020-02-20..2020-09-30),retEW097_15a_cap15_c10,-0.22540146748216294,0.1960445296352353,-1.3424299304267717,-1.2514734579919287,-0.20185982651697654,-1.1166237055257082,153
COVID(2020-02-20..2020-09-30),retEW097_12a_cap1_c10,-0.1822269274006607,0.1568356237081882,-1.3771720560968845,-1.2646998571082722,-0.16396556975829824,-1.1113731234507438,153
COVID(2020-02-20..2020-09-30),retEW097_12a_cap15_c10,-0.1822269274006607,0.1568356237081882,-1.3771720560968845,-1.2646998571082722,-0.16396556975829824,-1.1113731234507438,153
COVID(2020-02-20..2020-09-30),ret_egarch_std_12a_cap1_c10,-0.15152619265940304,0.1325420513925501,-1.3784792831637107,-1.2856020491882099,-0.13962721362400698,-1.0852196267945162,153
COVID(2020-02-20..2020-09-30),ret_egarch_std_12a_cap15_c10,-0.15152619265940304,0.1325420513925501,-1.3784792831637107,-1.2856020491882099,-0.13962721362400698,-1.0852196267945162,153
COVID(2020-02-20..2020-09-30),retEW097_10a_cap1_c10,-0.15286647476771342,0.13069635309015684,-1.4119065003160942,-1.2731172821915546,-0.13802258045923543,-1.107546853993663,153
COVID(2020-02-20..2020-09-30),retEW097_10a_cap15_c10,-0.15286647476771342,0.13069635309015684,-1.4119065003160942,-1.2731172821915546,-0.13802258045923543,-1.107546853993663,153
COVID(2020-02-20..2020-09-30),ret_egarch_std_10a_cap1_c10,-0.12688463945197537,0.11045170949379177,-1.4195771860835984,-1.2918412292451462,-0.11742312299674507,-1.0805762631223201,153
COVID(2020-02-20..2020-09-30),ret_egarch_std_10a_cap15_c10,-0.12688463945197537,0.11045170949379177,-1.4195771860835984,-1.2918412292451462,-0.11742312299674507,-1.0805762631223201,153
COVID(2020-02-20..2020-09-30),ret_gjr_norm_15a_cap1_c10,-0.22728908925941826,0.18602055583883725,-1.4380841762957093,-1.3220441227387896,-0.20180919511170659,-1.12625734983784,153
COVID(2020-02-20..2020-09-30),ret_gjr_norm_15a_cap15_c10,-0.22728908925941826,0.18602055583883725,-1.4380841762957093,-1.3220441227387896,-0.20180919511170659,-1.12625734983784,153
COVID(2020-02-20..2020-09-30),ret_gjr_norm_12a_cap1_c10,-0.1840727551741077,0.14881644467106978,-1.474677361158306,-1.3383413218777138,-0.16408767068903984,-1.1217951623125988,153
COVID(2020-02-20..2020-09-30),ret_gjr_norm_12a_cap15_c10,-0.1840727551741077,0.14881644467106978,-1.474677361158306,-1.3383413218777138,-0.16408767068903984,-1.1217951623125988,153
COVID(2020-02-20..2020-09-30),retEW094_15a_cap1_c10,-0.20056017949893978,0.15963726060849348,-1.491812927378663,-1.3187084758994403,-0.17349964208619162,-1.1559688370959575,153
COVID(2020-02-20..2020-09-30),ret_15a_cap1_c10,-0.20056017949893978,0.15963726060849348,-1.491812927378663,-1.3187084758994403,-0.17349964208619162,-1.1559688370959575,153
COVID(2020-02-20..2020-09-30),retEW094_15a_cap15_c10,-0.20056017949893978,0.15963726060849348,-1.491812927378663,-1.3187084758994403,-0.17349964208619162,-1.1559688370959575,153
COVID(2020-02-20..2020-09-30),ret_15a_cap15_c10,-0.20056017949893978,0.15963726060849348,-1.491812927378663,-1.3187084758994403,-0.17349964208619162,-1.1559688370959575,153
COVID(2020-02-20..2020-09-30),ret_gjr_norm_10a_cap1_c10,-0.15460431893091597,0.12401370389255816,-1.5112615374858283,-1.3489015147535155,-0.13822142430878903,-1.1185264491670066,153
COVID(2020-02-20..2020-09-30),ret_gjr_norm_10a_cap15_c10,-0.15460431893091597,0.12401370389255816,-1.5112615374858283,-1.3489015147535155,-0.13822142430878903,-1.1185264491670066,153
COVID(2020-02-20..2020-09-30),ret_egarch_norm_15a_cap1_c10,-0.23698397022980977,0.18421188199902377,-1.5223518227233195,-1.3155971357243006,-0.20185982651697654,-1.174002644899129,153
COVID(2020-02-20..2020-09-30),ret_egarch_norm_15a_cap15_c10,-0.23698397022980977,0.18421188199902377,-1.5223518227233195,-1.3155971357243006,-0.20185982651697654,-1.174002644899129,153
COVID(2020-02-20..2020-09-30),retEW094_12a_cap1_c10,-0.1622041271366811,0.12770980848679475,-1.5344408608532436,-1.3331407424407402,-0.14063012411101505,-1.1534095426712079,153
COVID(2020-02-20..2020-09-30),ret_12a_cap1_c10,-0.1622041271366811,0.12770980848679475,-1.5344408608532436,-1.3331407424407402,-0.14063012411101505,-1.1534095426712079,153
COVID(2020-02-20..2020-09-30),retEW094_12a_cap15_c10,-0.1622041271366811,0.12770980848679475,-1.5344408608532436,-1.3331407424407402,-0.14063012411101505,-1.1534095426712079,153
COVID(2020-02-20..2020-09-30),ret_12a_cap15_c10,-0.1622041271366811,0.12770980848679475,-1.5344408608532436,-1.3331407424407402,-0.14063012411101505,-1.1534095426712079,153
