janela,serie,ann_ret,ann_vol,sharpe,mdd,n
ROLL_2011-01-04_2014-01-23,ret_bh,-0.12003182740462481,0.226006424843676,-0.8525943756822161,-0.38070420815911077,756
ROLL_2011-01-04_2014-01-23,retEW094_10a_cap1_c10,-0.08678683600348314,0.0982843488759247,-1.7942370855319474,-0.25968167246228313,756
ROLL_2011-01-04_2014-01-23,retEW097_10a_cap1_c10,-0.09089785205824386,0.10595272551952332,-1.6995948585311487,-0.2727790579022742,756
ROLL_2011-01-04_2014-01-23,ret_10a_cap1_c10,-0.08678683600348314,0.0982843488759247,-1.7942370855319474,-0.25968167246228313,756
ROLL_2011-01-04_2014-01-23,ret_egarch_norm_10a_cap1_c10,-0.08652931249717832,0.10123806796294796,-1.736197421273065,-0.26227948289071445,756
ROLL_2011-01-04_2014-01-23,ret_egarch_std_10a_cap1_c10,-0.09526865427372855,0.10299921886899013,-1.79806119671665,-0.2779622792940638,756
ROLL_2011-01-04_2014-01-23,ret_gjr_norm_10a_cap1_c10,-0.09499343860749465,0.10568684301288243,-1.746794326286215,-0.280010002578703,756
ROLL_2011-01-04_2014-01-23,retEW094_12a_cap1_c10,-0.10467204361580396,0.11790819747891841,-1.6453197820594376,-0.30491670672462434,756
ROLL_2011-01-04_2014-01-23,retEW097_12a_cap1_c10,-0.10967524586697042,0.12711255336072783,-1.5613914481606304,-0.31999151882224186,756
ROLL_2011-01-04_2014-01-23,ret_12a_cap1_c10,-0.10467204361580396,0.11790819747891841,-1.6453197820594376,-0.30491670672462434,756
ROLL_2011-01-04_2014-01-23,ret_egarch_norm_12a_cap1_c10,-0.1044335270056932,0.12145363450202738,-1.5915912908916272,-0.30798115172395957,756
ROLL_2011-01-04_2014-01-23,ret_egarch_std_12a_cap1_c10,-0.11433981086372247,0.12359906264278815,-1.651805518508765,-0.32566138383997034,756
ROLL_2011-01-04_2014-01-23,ret_gjr_norm_12a_cap1_c10,-0.11407741628871293,0.1268242116154589,-1.604254727373449,-0.32808457432289817,756
ROLL_2011-01-04_2014-01-23,retEW094_15a_cap1_c10,-0.13147952902124793,0.14735067282617084,-1.4962352058520534,-0.36879506208612167,756
ROLL_2011-01-04_2014-01-23,retEW097_15a_cap1_c10,-0.13739551446392517,0.1582652979920115,-1.4256436748140053,-0.3854755811151611,756
ROLL_2011-01-04_2014-01-23,ret_15a_cap1_c10,-0.13147952902124793,0.14735067282617084,-1.4962352058520534,-0.36879506208612167,756
ROLL_2011-01-04_2014-01-23,ret_egarch_norm_15a_cap1_c10,-0.13130812668343883,0.1517834916533683,-1.4468324470707168,-0.372508584921716,756
ROLL_2011-01-04_2014-01-23,ret_egarch_std_15a_cap1_c10,-0.1422744856846868,0.15385608073135892,-1.50782510632037,-0.391294317568351,756
ROLL_2011-01-04_2014-01-23,ret_gjr_norm_15a_cap1_c10,-0.1420680470421517,0.15790377077106632,-1.4636047975034925,-0.394246526259487,756
ROLL_2011-01-04_2014-01-23,retEW094_10a_cap15_c10,-0.08678683600348314,0.0982843488759247,-1.7942370855319474,-0.25968167246228313,756
ROLL_2011-01-04_2014-01-23,retEW097_10a_cap15_c10,-0.09089785205824386,0.10595272551952332,-1.6995948585311487,-0.2727790579022742,756
ROLL_2011-01-04_2014-01-23,ret_10a_cap15_c10,-0.08678683600348314,0.0982843488759247,-1.7942370855319474,-0.25968167246228313,756
ROLL_2011-01-04_2014-01-23,ret_egarch_norm_10a_cap15_c10,-0.08652931249717832,0.10123806796294796,-1.736197421273065,-0.26227948289071445,756
ROLL_2011-01-04_2014-01-23,ret_egarch_std_10a_cap15_c10,-0.09526865427372855,0.10299921886899013,-1.79806119671665,-0.2779622792940638,756
ROLL_2011-01-04_2014-01-23,ret_gjr_norm_10a_cap15_c10,-0.09499343860749465,0.10568684301288243,-1.746794326286215,-0.280010002578703,756
ROLL_2011-01-04_2014-01-23,retEW094_12a_cap15_c10,-0.10467204361580396,0.11790819747891841,-1.6453197820594376,-0.30491670672462434,756
ROLL_2011-01-04_2014-01-23,retEW097_12a_cap15_c10,-0.10967524586697042,0.12711255336072783,-1.5613914481606304,-0.31999151882224186,756
ROLL_2011-01-04_2014-01-23,ret_12a_cap15_c10,-0.10467204361580396,0.11790819747891841,-1.6453197820594376,-0.30491670672462434,756
ROLL_2011-01-04_2014-01-23,ret_egarch_norm_12a_cap15_c10,-0.1044335270056932,0.12145363450202738,-1.5915912908916272,-0.30798115172395957,756
ROLL_2011-01-04_2014-01-23,ret_egarch_std_12a_cap15_c10,-0.11433981086372247,0.12359906264278815,-1.651805518508765,-0.32566138383997034,756
ROLL_2011-01-04_2014-01-23,ret_gjr_norm_12a_cap15_c10,-0.11407741628871293,0.1268242116154589,-1.604254727373449,-0.32808457432289817,756
ROLL_2011-01-04_2014-01-23,retEW094_15a_cap15_c10,-0.13147952902124793,0.14735067282617084,-1.4962352058520534,-0.36879506208612167,756
ROLL_2011-01-04_2014-01-23,retEW097_15a_cap15_c10,-0.13798942898278943,0.15885683554850732,-1.4240931320660932,-0.3867440317723141,756
ROLL_2011-01-04_2014-01-23,ret_15a_cap15_c10,-0.13147952902124793,0.14735067282617084,-1.4962352058520534,-0.36879506208612167,756
ROLL_2011-01-04_2014-01-23,ret_egarch_norm_15a_cap15_c10,-0.13130812668343883,0.1517834916533683,-1.4468324470707168,-0.372508584921716,756
ROLL_2011-01-04_2014-01-23,ret_egarch_std_15a_cap15_c10,-0.14302362754621345,0.15449695733774138,-1.5066051172266821,-0.3928878649362547,756
